T(n),n,n^2,n^3,T(n)/n,T(n)/n^2,T(n)/n^3
1023834400,9100,82810000,2147483647,112509,12.36365656,0.001358644
1044110900,9200,84640000,2147483647,113490,12.33590383,0.001340859
1084168800,9300,86490000,2147483647,116577,12.53519251,0.00134787
1093157600,9400,88360000,2147483647,116293,12.37163422,0.001316131
1125827000,9500,90250000,2147483647,118508,12.4745374,0.001313109
1146097800,9600,92160000,2147483647,119385,12.43595703,0.001295412
1185664301,9700,94090000,2147483647,122233,12.60138485,0.001299112
1205328400,9800,96040000,2147483647,122992,12.55027489,0.00128064
1243445400,9900,98010000,2147483647,125600,12.68692378,0.001281507
1270987300,10000,100000000,2147483647,127098,12.709873,0.001270987
1308735300,10100,102010000,2147483647,129577,12.82948044,0.001270246
1332030800,10200,104040000,2147483647,130591,12.80306421,0.001255202
1370889099,10300,106090000,2147483647,133096,12.92194457,0.001254558
1401940800,10400,108160000,2147483647,134802,12.96173077,0.00124632
1416875500,10500,110250000,2147483647,134940,12.85147846,0.00122395
1465162400,10600,112360000,2147483647,138222,13.0398932,0.001230179
1493747700,10700,114490000,2147483647,139602,13.04697091,0.001219343
1519298700,10800,116640000,2147483647,140675,13.02553755,0.001206068
1583933201,10900,118810000,2147483647,145314,13.33164886,0.001223087
1593809400,11000,121000000,2147483647,144891,13.17197851,0.001197453
1657397700,11100,123210000,2147483647,149315,13.45181154,0.001211875
1687955199,11200,125440000,2147483647,150710,13.4562755,0.001201453
1698894099,11300,127690000,2147483647,150344,13.30483279,0.001177419
1770471500,11400,129960000,2147483647,155304,13.62320329,0.001195018
1812163201,11500,132250000,2147483647,157579,13.70255729,0.001191527
1842084099,11600,134560000,2147483647,158800,13.68968563,0.001180145
1868738601,11700,136890000,2147483647,159721,13.65138871,0.001166785
1931998700,11800,139240000,2147483647,163728,13.87531385,0.001175874
1950910200,11900,141610000,2147483647,163942,13.77664148,0.001157701
2010849701,12000,144000000,2147483647,167570,13.96423403,0.001163686
2055193599,12100,146410000,2147483647,169850,14.03724881,0.001160103
2044661099,12200,148840000,2147483647,167595,13.73730918,0.001126009
2090547301,12300,151290000,2147483647,169963,13.81814595,0.001123427
